This information was gleaned from https://gisgeography.com/gis-formats/ 20200114								
geo_data_type	name	description_high	exts	required	native_to	description_low	default_xy	default_alt
vector	shapefile	ESRI shapefile	shp	TRUE	esri	geospatal data format for esri;		
vector	shapefile	ESRI shapefile	dbf	TRUE	esri	database file associated with shapefiles		
vector	shapefile	ESRI shapefile	shx	TRUE	esri	header file		
vector	shapefile	ESRI shapefile	prj	FALSE	esri	projection file		
vector	shapefile	ESRI shapefile	lyr	FALSE	esri	no geographies; aesetic properties		
vector	shapefile	ESRI shapefile	xml	FALSE	esri	associated metadata		
vector	shapefile	ESRI shapefile	sbn	FALSE	esri	sbn		
vector	shapefile	ESRI shapefile	sbx	FALSE	esri	loading optimization		
vector	geojson	Geographic javascript object notation (Geo and json)	json	NA	javascript	web-based mapping		
vector	geojson	Geographic javascript object notation (Geo and json)	geojson	TRUE	javascript	"stores coordinates in JSON form, and tabular information; "		
vector	google	Google keyhole markup language	kml	NA	Google	primarily for Google Earth; 	wgs84	wgs84 egm86
vector	google	Google keyhole markup language	kmz	TRUE	Google	primarily for Google Earth; 	wgs84	wgs84 egm86
vector	gps	GPS eXchange format	gpx	TRUE	XML	"points, tracks, and routes from a GPS receiver"		
vector	idrisi	IDRISI vector	vct	TRUE		"points, lines, polygons, text, photos;  optional datatable and values for metadata"		
vector	idrisi	IDRISI vector	vdc	TRUE		"points, lines, polygons, text, photos;  optional datatable and values for metadata"		
vector	mitab	MapInfo TAB	tab	TRUE	MapInfo software	"ASCII for linking ID, DAT, MAP, and IND files."		
vector	mitab	MapInfo TAB	dat	TRUE	MapInfo software	Tabular data associated as a dBase DBF file		
vector	mitab	MapInfo TAB	id	TRUE	MapInfo software	index files linking graphical objects to database information		
vector	mitab	MapInfo TAB	map	TRUE	MapInfo software	map objects for storing geographic information		
vector	mitab	MapInfo TAB	ind	TRUE	MapInfo software	index files for the tabular data		
vector	openstreet	OpenStreetMap OSM XML	osm	TRUE	OpenStreetMap	xml-baased file format (but also PBF for an alternative)		
vector	digitalline	Digital Line Graph	dlg	TRUE	NA	Converting paper-based topographic maps to digital vectors; originally used for TIGER		
raster	erdas	img	img	TRUE	Hexagon GeoSpatial	"hierachical format for storing geographical data and information about projectoin, attributes, pyramids, etc."		
raster	asc	American Standard Code for Information Interchange ASCII Grid	asc	NA	NA	GIS data in a delimited format; often run as ASCII to raster format.		
raster	tiff	GeoTIFF	tif	TRUE				
raster	tiff	GeoTIFF	tiff	TRUE				
raster	tiff	GeoTIFF	ovr			Pyramid files for improving display performance		
raster	tiff	GeoTIFF	xml	FALSE		optional metadata files		
raster	tiff	GeoTIFF	aux	TRUE		projections and other information		
raster	tiff	GeoTIFF	tfw	TRUE		world file for raster geolocation		
raster	idrisi	IDRISI raster	rst	TRUE		RST extensions for every raster layer; contains RGB24;		
raster	idrisi	IDRISI raster	rdc	TRUE		documentation file; geographic informaion;		
raster	enviraw	Envi RAW raster	bil	TRUE		pixel information based on rows for all bands in the image		
raster	enviraw	Envi RAW raster	bip	TRUE		pixel values for each band by rows		
raster	enviraw	Envi RAW raster	bsq	TRUE		band sequential format; bands stored as rows		
raster	enviraw	Envi RAW raster	hdr	TRUE		describes BIL file(s)		
raster	pcidsk	PCI geomatics database file	pix	TRUE	PCI geomatics	database file for holding multiple rasters and metadata and geographical infromation		
compressed_raster	ecw	ER Mapper Enhanced Compression Wavelet	ecw	TRUE	Hexagon GeoSpatial	compressed image for aerial and satellite; 		
compressed_raster	jp2	Joint photogrphic experts group JPEG2000	jp2	TRUE		wavelet compression; requires associated world file		
geodatabase_files	esrigdb	ESRI File Geodatabase	gdb	TRUE	esri	stores multiple attributes (succeeded MDB); 		
geodatabase_files	esrimdb	ESRI Personal Geodatabase	mdb	TRUE	esri; Microsoft access	uses MS access database file extentsion (mdb); limited storage of 2gb; 		
geodatabase_files	gpkg	OGC Geopackage	gpkg	TRUE	sqlite	"Self-contained serverless SQLite database contaiing vectors, tiles, rastetrs, layers; similar to a SHAPEFILE, but only a single file is required!"		
geodatabase_files	mbtiles	Mapbox MBTiles	mbtiles	TRUE	sqlite	sets of raster or vector map tiles in a single file; 		
